Date,Dollar,VIX,regime
2020-08-20,92.79000091552734,22.719999313354492,1
2020-08-21,93.25,22.540000915527344,1
2020-08-24,93.30000305175781,22.3700008392334,1
2020-08-25,93.0199966430664,22.030000686645508,1
2020-08-26,93.01000213623047,23.270000457763672,1
2020-08-27,93.01000213623047,24.469999313354492,0
2020-08-28,92.37000274658203,22.959999084472656,1
2020-08-31,92.13999938964844,26.40999984741211,1
2020-09-01,92.33999633789062,26.1200008392334,1
2020-09-02,92.8499984741211,26.56999969482422,0
2020-09-03,92.73999786376953,33.599998474121094,1
2020-09-04,92.72000122070312,30.75,1
2020-09-08,93.4800033569336,31.459999084472656,0
2020-09-09,93.26000213623047,28.809999465942383,1
2020-09-10,93.33999633789062,29.709999084472656,0
2020-09-11,93.33000183105469,26.8700008392334,-1
2020-09-14,93.06999969482422,25.850000381469727,0
2020-09-15,93.05000305175781,25.59000015258789,0
2020-09-16,93.20999908447266,26.040000915527344,0
2020-09-17,92.97000122070312,26.459999084472656,0
2020-09-18,92.93000030517578,25.829999923706055,-1
2020-09-21,93.54000091552734,27.780000686645508,-1
2020-09-22,93.98999786376953,26.860000610351562,-1
2020-09-23,94.38999938964844,28.579999923706055,-1
2020-09-24,94.3499984741211,28.510000228881836,-1
2020-09-25,94.58000183105469,26.3799991607666,-1
2020-09-28,94.26000213623047,26.190000534057617,-1
2020-09-29,93.88999938964844,26.270000457763672,-1
2020-09-30,93.88999938964844,26.3700008392334,-1
2020-10-01,93.70999908447266,26.700000762939453,-1
2020-10-02,93.83999633789062,27.6299991607666,0
2020-10-05,93.51000213623047,27.959999084472656,1
2020-10-06,93.83000183105469,29.479999542236328,1
2020-10-07,93.62999725341797,28.059999465942383,1
2020-10-08,93.61000061035156,26.360000610351562,1
2020-10-09,93.05999755859375,25.0,1
2020-10-12,93.06999969482422,25.06999969482422,1
2020-10-13,93.52999877929688,26.06999969482422,0
2020-10-14,93.37999725341797,26.399999618530273,0
2020-10-15,93.86000061035156,26.969999313354492,0
2020-10-16,93.68000030517578,27.40999984741211,0
2020-10-19,93.43000030517578,29.18000030517578,1
2020-10-20,93.06999969482422,29.350000381469727,1
2020-10-21,92.61000061035156,28.649999618530273,1
2020-10-22,92.94999694824219,28.110000610351562,1
2020-10-23,92.7699966430664,27.549999237060547,1
2020-10-26,93.05000305175781,32.459999084472656,1
2020-10-27,92.94000244140625,33.349998474121094,1
2020-10-28,93.41000366210938,40.279998779296875,0
2020-10-29,93.95999908447266,37.59000015258789,-1
2020-10-30,94.04000091552734,38.02000045776367,-1
2020-11-02,94.05000305175781,37.130001068115234,-1
2020-11-03,93.55000305175781,35.54999923706055,0
2020-11-04,93.41000366210938,29.56999969482422,-1
2020-11-05,92.52999877929688,27.579999923706055,1
2020-11-06,92.2300033569336,24.860000610351562,0
2020-11-09,92.7300033569336,25.75,1
2020-11-10,92.75,24.799999237060547,1
2020-11-11,93.04000091552734,23.450000762939453,1
2020-11-12,92.95999908447266,25.350000381469727,1
2020-11-13,92.76000213623047,23.100000381469727,1
2020-11-16,92.56999969482422,22.450000762939453,1
2020-11-17,92.41999816894531,22.709999084472656,1
2020-11-18,92.31999969482422,23.84000015258789,1
2020-11-19,92.29000091552734,23.110000610351562,1
2020-11-20,92.38999938964844,23.700000762939453,1
2020-11-23,92.51000213623047,22.65999984741211,1
2020-11-24,92.2300033569336,21.639999389648438,1
2020-11-25,91.98999786376953,21.25,1
2020-11-27,91.79000091552734,20.84000015258789,1
2020-11-30,91.87000274658203,20.56999969482422,1
2020-12-01,91.30999755859375,20.770000457763672,1
2020-12-02,91.12000274658203,21.170000076293945,1
2020-12-03,90.70999908447266,21.280000686645508,1
2020-12-04,90.69999694824219,20.790000915527344,1
2020-12-07,90.79000091552734,21.299999237060547,1
2020-12-08,90.97000122070312,20.68000030517578,1
2020-12-09,91.08999633789062,22.270000457763672,1
2020-12-10,90.79000091552734,22.520000457763672,1
2020-12-11,90.9800033569336,23.309999465942383,1
2020-12-14,90.70999908447266,24.719999313354492,1
2020-12-15,90.47000122070312,22.889999389648438,1
2020-12-16,90.44999694824219,22.5,1
2020-12-17,89.81999969482422,21.93000030517578,1
2020-12-18,90.0199966430664,21.56999969482422,1
2020-12-21,90.04000091552734,25.15999984741211,1
2020-12-22,90.6500015258789,24.229999542236328,1
2020-12-23,90.41000366210938,23.309999465942383,1
2020-12-24,90.33000183105469,21.530000686645508,1
2020-12-28,90.33999633789062,21.700000762939453,1
2020-12-29,90.01000213623047,23.079999923706055,1
2020-12-30,89.62999725341797,22.770000457763672,0
2020-12-31,89.94000244140625,22.75,0
2021-01-04,89.87999725341797,26.969999313354492,1
2021-01-05,89.44000244140625,25.34000015258789,0
2021-01-06,89.52999877929688,25.06999969482422,1
2021-01-07,89.83000183105469,22.3700008392334,1
2021-01-08,90.0999984741211,21.559999465942383,1
